"Date","Price","Open","High","Low","Vol.","Change %"
"05/06/2024","4.010","4.010","4.010","4.000","2.16M","0.00%"
"04/06/2024","4.010","4.100","4.100","4.010","3.55M","-2.20%"
"03/06/2024","4.100","4.040","4.100","4.050","1.66M","1.49%"
"31/05/2024","4.040","4.030","4.070","4.040","1.06M","0.25%"
"30/05/2024","4.030","4.200","4.500","4.030","8.32M","-4.05%"
"29/05/2024","4.200","4.200","4.200","4.100","5.64M","0.00%"
"28/05/2024","4.200","4.050","4.200","4.100","2.77M","3.70%"
"27/05/2024","4.050","4.100","4.120","4.050","3.15M","-1.22%"
"24/05/2024","4.100","4.080","4.190","4.100","1.28M","0.49%"
"23/05/2024","4.080","4.250","4.280","4.070","3.61M","-4.00%"
"22/05/2024","4.250","4.200","4.250","4.250","747.52K","1.19%"
"21/05/2024","4.200","4.480","4.220","4.170","1.37M","-6.25%"
"20/05/2024","4.480","4.480","4.300","4.050","899.52K","0.00%"
"17/05/2024","4.480","4.200","4.480","4.480","875.36K","6.67%"
"16/05/2024","4.200","4.010","4.200","4.070","1.78M","4.74%"
"15/05/2024","4.010","4.450","4.460","4.010","7.29M","-9.89%"
"14/05/2024","4.450","4.700","4.460","4.250","2.88M","-5.32%"
"13/05/2024","4.700","4.460","4.800","4.700","1.35M","5.38%"
"10/05/2024","4.460","4.600","4.460","4.410","744.36K","-3.04%"
"09/05/2024","4.600","4.430","4.600","4.600","1.84M","3.84%"
"08/05/2024","4.430","4.900","4.700","4.430","2.23M","-9.59%"
"07/05/2024","4.900","4.900","4.900","4.700","5.30M","0.00%"
"06/05/2024","4.900","4.880","5.000","4.730","2.70M","0.41%"
"03/05/2024","4.880","4.740","4.880","4.800","1.88M","2.95%"
"02/05/2024","4.740","4.310","4.740","4.370","3.80M","9.98%"
"30/04/2024","4.310","4.200","4.500","4.250","867.87K","2.62%"
"29/04/2024","4.200","3.820","4.200","3.850","1.99M","9.95%"
