"Date","Price","Open","High","Low","Vol.","Change %"
"19/08/2025","168.60","168.60","168.60","168.60","635.29K","0.00%"
"18/08/2025","168.60","168.60","168.60","168.60","1.93M","0.00%"
"15/08/2025","168.60","168.60","168.60","168.60","297.83K","0.00%"
"14/08/2025","168.60","168.60","168.60","168.60","739.22K","0.00%"
"13/08/2025","168.60","168.60","168.60","168.60","977.13K","0.00%"
"12/08/2025","168.60","168.60","168.60","168.60","1.31M","0.00%"
"11/08/2025","168.60","168.60","168.60","168.60","783.47K","0.00%"
"08/08/2025","168.60","175.00","168.60","168.60","1.51M","-3.66%"
"07/08/2025","175.00","183.00","175.00","173.90","3.13M","-4.37%"
"06/08/2025","183.00","170.50","183.00","167.50","4.14M","7.33%"
"05/08/2025","170.50","155.00","170.50","160.00","4.64M","10.00%"
"04/08/2025","155.00","148.00","155.00","155.00","1.62M","4.73%"
"01/08/2025","148.00","135.00","148.00","148.00","2.84M","9.63%"
"31/07/2025","135.00","135.00","135.00","135.00","2.72M","0.00%"
"30/07/2025","135.00","135.00","135.00","135.00","2.36M","0.00%"
"29/07/2025","135.00","135.00","135.00","135.00","3.05M","0.00%"
"28/07/2025","135.00","135.00","135.00","135.00","2.01M","0.00%"
"25/07/2025","135.00","135.00","135.00","135.00","1.01M","0.00%"
"24/07/2025","135.00","135.00","135.00","135.00","1.41M","0.00%"
"23/07/2025","135.00","135.00","135.00","135.00","2.38M","0.00%"
"22/07/2025","135.00","129.80","135.00","129.90","3.16M","4.01%"
"21/07/2025","129.80","123.40","129.80","129.80","2.85M","5.19%"
"18/07/2025","123.40","122.80","123.40","118.00","7.29M","9.98%"
"17/07/2025","112.20","102.00","112.20","104.90","6.44M","10.00%"
"16/07/2025","102.00","99.00","102.00","102.00","879.91K","3.03%"
"14/07/2025","99.00","94.00","99.00","99.00","1.76M","5.32%"
"11/07/2025","94.00","92.50","94.00","94.00","1.46M","1.62%"
"10/07/2025","92.50","92.50","92.50","92.50","1.03M","0.00%"
"09/07/2025","92.50","92.50","92.50","92.50","812.75K","0.00%"
"08/07/2025","92.50","92.50","92.50","92.50","817.04K","0.00%"
"07/07/2025","92.50","92.50","92.50","92.50","454.23K","0.00%"
"04/07/2025","92.50","93.40","92.50","90.00","592.40K","-3.04%"
"03/07/2025","95.40","95.40","95.40","95.40","333.16K","0.00%"
"02/07/2025","95.40","95.40","95.40","95.40","452.16K","0.00%"
"01/07/2025","95.40","95.40","95.40","95.40","438.20K","0.00%"
"30/06/2025","95.40","95.40","95.40","95.40","1.69M","0.00%"
"27/06/2025","95.40","105.90","95.40","95.40","1.34M","-9.92%"
"26/06/2025","105.90","100.00","105.90","105.90","1.43M","5.90%"
"25/06/2025","100.00","92.00","100.00","91.90","7.37M","8.70%"
"24/06/2025","92.00","87.90","92.00","88.90","999.06K","4.66%"
"23/06/2025","87.90","87.90","87.90","87.90","703.24K","0.00%"
"20/06/2025","87.90","90.00","87.90","85.00","1.34M","-2.33%"
"19/06/2025","90.00","90.00","90.00","90.00","543.82K","0.00%"
"18/06/2025","90.00","90.00","90.00","90.00","852.01K","0.00%"
"17/06/2025","90.00","90.00","90.00","90.00","199.52K","0.00%"
"16/06/2025","90.00","90.00","90.00","90.00","334.80K","0.00%"
"13/06/2025","90.00","83.70","90.00","83.70","1.14M","7.53%"
"11/06/2025","83.70","83.70","83.70","83.70","729.00K","0.00%"
"10/06/2025","83.70","83.70","83.70","83.70","689.37K","0.00%"
"05/06/2025","83.70","83.70","83.70","83.70","10.92M","0.00%"
"04/06/2025","83.70","83.70","83.70","83.70","478.25K","0.00%"
